Tempo,percentual umidade,medicao umidade
0,46.0,549.0
1,46.0,549.0
2,46.0,548.0
3,46.0,548.0
4,46.0,546.0
5,46.0,546.0
6,46.0,545.0
7,46.0,544.0
8,46.0,544.0
9,47.0,542.0
10,47.0,541.0
11,47.0,542.0
12,47.0,541.0
13,47.0,540.0
14,47.0,540.0
15,47.0,539.0
16,47.0,539.0
17,47.0,540.0
18,47.0,539.0
19,47.0,539.0
20,47.0,538.0
21,47.0,538.0
22,47.0,538.0
23,47.0,539.0
24,47.0,538.0
25,47.0,537.0
26,47.0,537.0
27,47.0,536.0
28,47.0,536.0
29,47.0,536.0
30,47.0,536.0
31,47.0,536.0
32,47.0,536.0
33,47.0,536.0
34,47.0,536.0
35,47.0,536.0
36,47.0,536.0
37,47.0,535.0
38,47.0,536.0
39,47.0,536.0
40,47.0,536.0
41,47.0,536.0
42,47.0,535.0
43,47.0,536.0
44,47.0,535.0
45,47.0,535.0
46,47.0,535.0
47,47.0,535.0
48,47.0,535.0
49,47.0,535.0
50,47.0,535.0
51,47.0,535.0
52,47.0,534.0
53,47.0,534.0
54,47.0,533.0
55,47.0,532.0
56,47.0,533.0
57,47.0,533.0
58,47.0,533.0
59,47.0,533.0
60,47.0,532.0
61,47.0,532.0
62,47.0,532.0
63,47.0,533.0
64,47.0,533.0
65,47.0,533.0
66,47.0,533.0
67,47.0,532.0
68,47.0,532.0
69,47.0,532.0
70,47.0,532.0
71,47.0,532.0
72,47.0,532.0
73,47.0,532.0
74,47.0,533.0
75,47.0,532.0
76,47.0,532.0
77,48.0,531.0
78,47.0,532.0
79,48.0,531.0
80,48.0,531.0
81,47.0,532.0
82,47.0,532.0
83,47.0,532.0
84,48.0,531.0
85,48.0,531.0
86,48.0,531.0
87,48.0,531.0
88,48.0,531.0
89,48.0,530.0
90,48.0,531.0
91,48.0,531.0
92,48.0,530.0
93,48.0,531.0
94,48.0,531.0
95,48.0,531.0
96,48.0,531.0
97,48.0,531.0
98,48.0,531.0
99,48.0,530.0
100,47.0,532.0
101,48.0,529.0
102,48.0,530.0
103,48.0,531.0
104,47.0,532.0
105,47.0,532.0
106,47.0,533.0
107,47.0,532.0
108,47.0,532.0
109,48.0,531.0
110,47.0,532.0
111,47.0,532.0
112,47.0,532.0
113,48.0,531.0
114,48.0,531.0
115,47.0,533.0
116,47.0,532.0
117,47.0,533.0
118,47.0,533.0
119,47.0,533.0
120,47.0,533.0
121,47.0,533.0
122,47.0,533.0
123,47.0,533.0
124,47.0,533.0
125,47.0,532.0
126,47.0,532.0
127,47.0,532.0
128,47.0,532.0
129,47.0,532.0
130,47.0,532.0
131,47.0,532.0
132,48.0,531.0
133,47.0,533.0
134,47.0,532.0
135,47.0,532.0
136,47.0,532.0
137,47.0,532.0
138,47.0,532.0
139,47.0,533.0
140,47.0,533.0
141,47.0,534.0
142,47.0,533.0
143,47.0,534.0
144,47.0,533.0
145,47.0,533.0
146,47.0,534.0
147,47.0,534.0
148,47.0,534.0
149,47.0,533.0
150,47.0,533.0
151,47.0,532.0
152,47.0,533.0
153,47.0,532.0
154,47.0,534.0
155,47.0,534.0
156,47.0,533.0
157,47.0,534.0
158,47.0,534.0
159,47.0,534.0
160,47.0,534.0
161,47.0,534.0
162,47.0,533.0
163,47.0,535.0
164,47.0,536.0
165,47.0,536.0
166,47.0,536.0
167,47.0,536.0
168,47.0,536.0
169,47.0,536.0
170,47.0,537.0
171,47.0,537.0
172,47.0,537.0
173,47.0,535.0
174,47.0,535.0
175,47.0,535.0
176,47.0,536.0
177,47.0,537.0
178,47.0,536.0
179,47.0,535.0
180,47.0,535.0
181,47.0,536.0
182,47.0,535.0
183,47.0,536.0
184,47.0,534.0
185,47.0,535.0
186,47.0,537.0
187,47.0,536.0
188,47.0,536.0
189,47.0,537.0
190,47.0,538.0
191,47.0,538.0
192,47.0,539.0
193,47.0,537.0
194,47.0,537.0
195,47.0,538.0
196,47.0,537.0
197,47.0,537.0
198,47.0,538.0
199,47.0,539.0
200,47.0,539.0
201,47.0,539.0
202,47.0,539.0
203,47.0,540.0
